Start,Length,Vib,Press,Delay,Block,FN,FP
1516936,3000,0,0,NaN,5,0,0
1519936,1832,0,0,NaN,5,0,0
1521768,1008,1,1,1004,5,0,0
1521768,939,0,1,NaN,5,0,1
1521768,509,0,1,NaN,5,0,1
1521768,25,0,1,NaN,5,0,1
1521768,519,0,1,NaN,5,0,1
1524768,3000,0,0,NaN,5,0,0
1527768,3000,0,0,NaN,5,0,0
1530768,4,0,0,NaN,5,0,0
1530772,3000,1,1,707,5,0,0
1533772,3000,0,0,NaN,5,0,0
1536772,3000,0,0,NaN,5,0,0
1539772,37,0,0,NaN,5,0,0
1539809,3000,1,1,562,5,0,0
1542809,3000,0,0,NaN,5,0,0
1545809,2917,0,0,NaN,5,0,0
1548726,3000,1,1,993,5,0,0
1551726,3000,0,1,NaN,5,0,1
1554726,2966,0,0,NaN,5,0,0
1557692,3000,1,1,546,5,0,0
1560692,3000,0,0,NaN,5,0,0
1563692,2890,0,0,NaN,5,0,0
1566582,3000,1,1,586,5,0,0
1569582,3000,0,0,NaN,5,0,0
1572582,2934,0,0,NaN,5,0,0
1575516,3000,1,1,682,5,0,0
1578516,3000,0,0,NaN,5,0,0
1581516,3000,0,0,NaN,5,0,0
1584516,13,0,0,NaN,5,0,0
1584529,3000,1,1,919,5,0,0
1587529,3000,0,0,NaN,5,0,0
1590529,2893,0,0,NaN,5,0,0
1593422,3000,1,1,1302,5,0,0
1596422,3000,0,0,NaN,5,0,0
1599422,3000,0,0,NaN,5,0,0
1602422,3000,0,0,NaN,5,0,0
1605422,3000,0,0,NaN,5,0,0
1608422,3000,0,0,NaN,5,0,0
1611422,3000,0,0,NaN,5,0,0
1614422,2000,0,0,NaN,5,0,0
1616422,3000,1,1,779,5,0,0
1619422,3000,0,0,NaN,5,0,0
1622422,3000,0,0,NaN,5,0,0
1625422,3000,0,0,NaN,5,0,0
1628422,3000,0,0,NaN,5,0,0
1631422,3000,0,0,NaN,5,0,0
1634422,3000,0,0,NaN,5,0,0
1637422,1984,0,0,NaN,5,0,0
1639406,3000,1,1,1201,5,0,0
1642406,3000,0,0,NaN,5,0,0
1645406,3000,0,0,NaN,5,0,0
1648406,3000,0,0,NaN,5,0,0
1651406,3000,0,0,NaN,5,0,0
1654406,3000,0,0,NaN,5,0,0
1657406,3000,0,0,NaN,5,0,0
1660406,1952,0,0,NaN,5,0,0
1662358,3000,1,1,1063,5,0,0
1665358,3000,0,0,NaN,5,0,0
1668358,3000,0,0,NaN,5,0,0
1671358,3000,0,0,NaN,5,0,0
1674358,3000,0,0,NaN,5,0,0
1677358,3000,0,0,NaN,5,0,0
1680358,3000,0,0,NaN,5,0,0
1683358,1915,0,0,NaN,5,0,0
1685273,3000,1,1,935,5,0,0
1688273,3000,0,0,NaN,5,0,0
1691273,3000,0,0,NaN,5,0,0
1694273,3000,0,0,NaN,5,0,0
1697273,3000,0,0,NaN,5,0,0
1700273,3000,0,0,NaN,5,0,0
1703273,3000,0,0,NaN,5,0,0
1706273,2012,0,0,NaN,5,0,0
1708285,3000,1,1,941,5,0,0
1711285,3000,0,0,NaN,5,0,0
1714285,3000,0,0,NaN,5,0,0
1717285,3000,0,0,NaN,5,0,0
1720285,3000,0,0,NaN,5,0,0
1723285,3000,0,0,NaN,5,0,0
1726285,3000,0,0,NaN,5,0,0
1729285,1963,0,0,NaN,5,0,0
1731248,3000,1,1,1120,5,0,0
1734248,3000,0,0,NaN,5,0,0
1737248,3000,0,0,NaN,5,0,0
1740248,3000,0,0,NaN,5,0,0
1743248,3000,0,0,NaN,5,0,0
1746248,3000,0,0,NaN,5,0,0
1749248,3000,0,0,NaN,5,0,0
1752248,1918,0,0,NaN,5,0,0
1754166,3000,1,1,859,5,0,0
1757166,3000,0,0,NaN,5,0,0
1760166,3000,0,0,NaN,5,0,0
1763166,2971,0,0,NaN,5,0,0
1766137,3000,1,1,709,5,0,0
1769137,3000,0,0,NaN,5,0,0
1772137,3000,0,0,NaN,5,0,0
1775137,2909,0,0,NaN,5,0,0
1778046,3000,1,1,968,5,0,0
1781046,3000,0,0,NaN,5,0,0
1784046,3000,0,0,NaN,5,0,0
1787046,2977,0,0,NaN,5,0,0
1790023,3000,1,1,1075,5,0,0
1793023,3000,0,0,NaN,5,0,0
1796023,3000,0,0,NaN,5,0,0
1799023,2975,0,0,NaN,5,0,0
1801998,3000,1,1,701,5,0,0
1804998,3000,0,0,NaN,5,0,0
1807998,3000,0,0,NaN,5,0,0
1810998,2956,0,0,NaN,5,0,0
1813954,3000,1,1,787,5,0,0
1816954,3000,0,0,NaN,5,0,0
1819954,3000,0,0,NaN,5,0,0
1822954,2944,0,0,NaN,5,0,0
1825898,3000,1,0,NaN,5,1,0
1828898,3000,0,0,NaN,5,0,0
1831898,3000,0,0,NaN,5,0,0
1834898,2979,0,0,NaN,5,0,0
1837877,3000,1,1,1267,5,0,0
1840877,3000,0,0,NaN,5,0,0
1843877,3000,0,0,NaN,5,0,0
1846877,2929,0,0,NaN,5,0,0
1849806,3000,1,1,2509,5,0,0
1852806,3000,0,0,NaN,5,0,0
1855806,902,0,0,NaN,5,0,0
1856708,3000,1,1,748,5,0,0
1859708,3000,0,0,NaN,5,0,0
1862708,993,0,0,NaN,5,0,0
1863701,3000,1,1,1056,5,0,0
1866701,3000,0,0,NaN,5,0,0
1869701,914,0,0,NaN,5,0,0
1870615,3000,1,1,962,5,0,0
1873615,3000,0,1,NaN,5,0,1
1876615,978,0,0,NaN,5,0,0
1877593,3000,1,1,1221,5,0,0
1880593,3000,0,1,NaN,5,0,1
1883593,894,0,0,NaN,5,0,0
1884487,3000,1,1,1814,5,0,0
1887487,3000,0,0,NaN,2,0,0
1890487,3000,0,0,NaN,2,0,0
1893487,3000,0,0,NaN,2,0,0
1896487,3000,0,0,NaN,2,0,0
1899487,3000,0,0,NaN,2,0,0
1902487,3000,0,0,NaN,2,0,0
1905487,3000,0,0,NaN,2,0,0
1908487,3000,0,0,NaN,2,0,0
1911487,3000,0,0,NaN,2,0,0
1914487,3000,0,0,NaN,2,0,0
1917487,3000,0,0,NaN,2,0,0
1920487,3000,0,0,NaN,2,0,0
1923487,3000,0,0,NaN,2,0,0
1926487,3000,0,0,NaN,2,0,0
1929487,3000,0,0,NaN,2,0,0
1932487,3000,0,0,NaN,2,0,0
